"INDEX NERI"," TSTART [UT]"," TFINAL [UT]","bind","INDEX KAZACKENKO"," TSTART [UT]"," TFINAL [UT]"," S_RBN [cm^2]"," IXPEAK [W/M^2]"
"89"," 2012-07-02 19:34"," 2012-07-02 19:47","[ 91 174]","761"," 2012-07-02 19:34"," 2012-07-02 19:47","2.90E+24","2.50E-6"
"88"," 2012-07-02 22:05"," 2012-07-02 22:15","[160 225]","764"," 2012-07-02 22:05"," 2012-07-02 22:15","9.46E+23","3.40E-6"
"87"," 2012-07-02 23:17"," 2012-07-02 23:46","[ 2 66]","765"," 2012-07-02 23:17"," 2012-07-02 23:46","3.14E+24","6.50E-6"
"86"," 2012-07-03 00:53"," 2012-07-03 00:59","[634 716]","768"," 2012-07-03 00:53"," 2012-07-03 00:59","3.73E+24","2.60E-6"
"85"," 2012-07-03 03:36"," 2012-07-03 03:48","[ 3 57]","770"," 2012-07-03 03:36"," 2012-07-03 03:48","8.02E+24","9.90E-6"
"84"," 2012-07-03 04:14"," 2012-07-03 04:20","[47 77]","771"," 2012-07-03 04:14"," 2012-07-03 04:20","4.39E+24","2.40E-6"
"83"," 2012-07-03 06:05"," 2012-07-03 06:12","[ 2 26]","772"," 2012-07-03 06:05"," 2012-07-03 06:12","4.11E+24","2.80E-6"
"82"," 2012-07-03 12:12"," 2012-07-03 12:18","[ 3 53]","773"," 2012-07-03 12:12"," 2012-07-03 12:18","3.52E+21","2.00E-6"
"81"," 2012-07-03 13:02"," 2012-07-03 13:09","[ 1 10]","774"," 2012-07-03 13:02"," 2012-07-03 13:09","3.29E+21","2.20E-6"
"80"," 2012-07-03 13:56"," 2012-07-03 14:02","[319 330]","775"," 2012-07-03 13:56"," 2012-07-03 14:02","3.50E+24","4.20E-6"
"79"," 2012-07-03 14:36"," 2012-07-03 14:43","[104 142]","776"," 2012-07-03 14:36"," 2012-07-03 14:43","1.56E+24","8.20E-6"
"78"," 2012-07-03 15:19"," 2012-07-03 15:24","[55 81]","777"," 2012-07-03 15:19"," 2012-07-03 15:24","3.18E+24","4.10E-6"
"77"," 2012-07-03 20:36"," 2012-07-03 20:51","[25 64]","780"," 2012-07-03 20:36"," 2012-07-03 20:51","3.89E+21","9.30E-6"
"76"," 2012-07-05 17:51"," 2012-07-05 17:57","[11 61]","813"," 2012-07-05 17:51"," 2012-07-05 17:57","2.28E+24","5.10E-6"
"75"," 2012-07-05 18:12"," 2012-07-05 18:24","[21 60]","814"," 2012-07-05 18:12"," 2012-07-05 18:24","7.52E+24","6.10E-6"
"74"," 2012-07-05 19:39"," 2012-07-05 19:53","[179 211]","815"," 2012-07-05 19:39"," 2012-07-05 19:53","8.90E+24","4.80E-6"
"221"," 2012-07-05 20:09"," 2012-07-05 20:28","[ 1 17]","816"," 2012-07-05 20:09"," 2012-07-05 20:28","1.31E+25","1.60E-5"
"73"," 2012-07-06 00:13"," 2012-07-06 00:24","[ 2 29]","818"," 2012-07-06 00:13"," 2012-07-06 00:24","6.84E+24","6.80E-6"
"219"," 2012-07-06 01:37"," 2012-07-06 01:42","[ 4 61]","819"," 2012-07-06 01:37"," 2012-07-06 01:42","7.14E+24","2.90E-5"
"218"," 2012-07-06 02:44"," 2012-07-06 02:58","[658 716]","820"," 2012-07-06 02:44"," 2012-07-06 02:58","8.61E+24","1.00E-5"
"72"," 2012-07-06 04:28"," 2012-07-06 04:37","[118 132]","821"," 2012-07-06 04:28"," 2012-07-06 04:37","4.77E+24","5.80E-6"
"71"," 2012-07-06 07:02"," 2012-07-06 07:10","[ 1 10]","823"," 2012-07-06 07:02"," 2012-07-06 07:10","4.54E+24","7.40E-6"
"217"," 2012-07-06 08:17"," 2012-07-06 08:27","[30 70]","824"," 2012-07-06 08:17"," 2012-07-06 08:27","5.21E+24","1.50E-5"
"216"," 2012-07-06 10:24"," 2012-07-06 10:32","[695 718]","826"," 2012-07-06 10:24"," 2012-07-06 10:32","8.80E+24","1.80E-5"
"69"," 2012-07-10 03:37"," 2012-07-10 03:48","[185 218]","831"," 2012-07-10 03:37"," 2012-07-10 03:48","5.40E+24","3.90E-6"
"67"," 2012-07-30 04:16"," 2012-07-30 04:28","[49 85]","873"," 2012-07-30 04:16"," 2012-07-30 04:28","1.41E+24","2.40E-6"
"66"," 2012-08-04 04:13"," 2012-08-04 04:22","[ 2 61]","889"," 2012-08-04 04:13"," 2012-08-04 04:22","1.86E+24","2.70E-6"
"63"," 2012-09-03 02:40"," 2012-09-03 02:52","[  3 228]","921"," 2012-09-03 02:40"," 2012-09-03 02:52","4.20E+24","4.00E-6"
"62"," 2012-09-05 03:38"," 2012-09-05 04:02","[  3 204]","933"," 2012-09-05 03:38"," 2012-09-05 04:02","3.48E+24","6.10E-6"
"61"," 2012-09-06 02:32"," 2012-09-06 02:44","[138 174]","936"," 2012-09-06 02:32"," 2012-09-06 02:44","3.38E+24","2.40E-6"
"55"," 2012-10-24 01:11"," 2012-10-24 01:52","[ 1 31]","967"," 2012-10-24 01:11"," 2012-10-24 01:52","3.25E+24","2.40E-6"
"54"," 2012-10-24 05:26"," 2012-10-24 05:46","[  4 137]","968"," 2012-10-24 05:26"," 2012-10-24 05:46","2.82E+24","4.20E-6"
"209"," 2012-11-13 20:50"," 2012-11-13 20:57","[149 256]","988"," 2012-11-13 20:50"," 2012-11-13 20:57","3.33E+24","2.80E-5"
"208"," 2013-04-12 19:52"," 2013-04-12 20:46","[ 2 78]","1145"," 2013-04-12 19:52"," 2013-04-12 20:46","8.64E+24","3.30E-5"
"51"," 2013-04-23 19:29"," 2013-04-23 19:39","[135 169]","1174"," 2013-04-23 19:29"," 2013-04-23 19:39","5.62E+24","1.80E-6"
"48"," 2013-10-11 14:30"," 2013-10-11 15:05","[  3 100]","1385"," 2013-10-11 14:30"," 2013-10-11 15:05","3.61E+24","4.70E-6"
"47"," 2013-10-11 20:11"," 2013-10-11 20:16","[268 338]","1388"," 2013-10-11 20:11"," 2013-10-11 20:16","2.59E+24","4.00E-6"
"46"," 2013-10-11 21:57"," 2013-10-11 22:18","[211 252]","1389"," 2013-10-11 21:57"," 2013-10-11 22:18","3.18E+24","2.40E-6"
"44"," 2013-10-12 03:37"," 2013-10-12 03:59","[  2 207]","1393"," 2013-10-12 03:37"," 2013-10-12 03:59","2.84E+24","5.40E-6"
"43"," 2013-10-12 08:12"," 2013-10-12 08:20","[ 1 64]","1395"," 2013-10-12 08:12"," 2013-10-12 08:20","1.44E+24","2.00E-6"
"42"," 2013-10-15 20:04"," 2013-10-15 20:57","[ 1 20]","1418"," 2013-10-15 20:04"," 2013-10-15 20:57","3.35E+21","3.30E-6"
"207"," 2013-10-15 23:31"," 2013-10-15 23:41","[  5 139]","1419"," 2013-10-15 23:31"," 2013-10-15 23:41","5.98E+24","1.30E-5"
"41"," 2013-10-25 22:52"," 2013-10-25 23:08","[150 263]","1475"," 2013-10-25 22:52"," 2013-10-25 23:08","2.97E+23","3.20E-6"
"40"," 2013-10-26 02:42"," 2013-10-26 02:55","[219 236]","1477"," 2013-10-26 02:42"," 2013-10-26 02:55","2.39E+24","4.50E-6"
"39"," 2013-10-26 08:37"," 2013-10-26 08:49","[116 162]","1479"," 2013-10-26 08:37"," 2013-10-26 08:49","4.07E+24","5.20E-6"
"37"," 2013-11-09 06:22"," 2013-11-09 06:47","[  2 120]","1540"," 2013-11-09 06:22"," 2013-11-09 06:47","3.49E+24","2.60E-6"
"36"," 2013-12-21 19:22"," 2013-12-21 19:33","[  2 119]","1630"," 2013-12-21 19:22"," 2013-12-21 19:33","5.01E+24","7.50E-6"
"34"," 2013-12-29 19:24"," 2013-12-29 19:34","[ 32 135]","1658"," 2013-12-29 19:24"," 2013-12-29 19:34","1.61E+24","5.40E-6"
"32"," 2014-01-03 18:30"," 2014-01-03 18:40","[ 73 158]","1670"," 2014-01-03 18:30"," 2014-01-03 18:40","2.52E+24","4.00E-6"
"258"," 2014-01-07 18:04"," 2014-01-07 18:58","[ 2 19]","1684"," 2014-01-07 18:04"," 2014-01-07 18:58","2.38E+25","1.20E-4"
"31"," 2014-01-10 18:46"," 2014-01-10 18:51","[184 267]","1691"," 2014-01-10 18:46"," 2014-01-10 18:51","1.28E+24","1.40E-6"
"30"," 2014-01-11 20:43"," 2014-01-11 20:55","[356 387]","1697"," 2014-01-11 20:43"," 2014-01-11 20:55","1.47E+23","1.70E-6"
"29"," 2014-01-13 16:03"," 2014-01-13 16:51","[ 0 17]","1698"," 2014-01-13 16:03"," 2014-01-13 16:51","1.10E+24","1.80E-6"
"202"," 2014-01-31 15:32"," 2014-01-31 15:53","[  4 121]","1708"," 2014-01-31 15:32"," 2014-01-31 15:53","9.50E+24","1.10E-5"
"201"," 2014-02-02 14:01"," 2014-02-02 14:09","[524 591]","1727"," 2014-02-02 14:01"," 2014-02-02 14:09","3.99E+24","1.30E-5"
"200"," 2014-02-02 16:24"," 2014-02-02 16:36","[ 2 47]","1730"," 2014-02-02 16:24"," 2014-02-02 16:36","3.93E+24","1.00E-5"
"23"," 2014-02-05 10:18"," 2014-02-05 10:24","[31 79]","1763"," 2014-02-05 10:18"," 2014-02-05 10:24","1.64E+21","4.40E-6"
"22"," 2014-02-06 14:40"," 2014-02-06 14:52","[  2 197]","1774"," 2014-02-06 14:40"," 2014-02-06 14:52","1.08E+21","4.00E-6"
"20"," 2014-02-12 19:38"," 2014-02-12 20:05","[643 714]","1788"," 2014-02-12 19:38"," 2014-02-12 20:05","4.37E+24","4.80E-6"
"19"," 2014-02-12 21:14"," 2014-02-12 21:38","[ 2 46]","1789"," 2014-02-12 21:14"," 2014-02-12 21:38","5.57E+24","5.90E-6"
"18"," 2014-02-12 22:18"," 2014-02-12 22:25","[ 2 73]","1790"," 2014-02-12 22:18"," 2014-02-12 22:25","2.68E+24","2.60E-6"
"197"," 2014-02-13 15:45"," 2014-02-13 16:06","[ 14 172]","1802"," 2014-02-13 15:45"," 2014-02-13 16:06","7.07E+24","1.40E-5"
"196"," 2014-02-14 16:33"," 2014-02-14 16:42","[ 2 65]","1816"," 2014-02-14 16:33"," 2014-02-14 16:42","6.32E+24","1.00E-5"
"17"," 2014-02-16 13:48"," 2014-02-16 14:05","[548 710]","1823"," 2014-02-16 13:48"," 2014-02-16 14:05","2.52E+24","3.40E-6"
"16"," 2014-02-17 15:27"," 2014-02-17 15:33","[104 158]","1828"," 2014-02-17 15:27"," 2014-02-17 15:33","1.69E+23","2.40E-6"
"13"," 2014-02-25 15:04"," 2014-02-25 15:18","[ 1 22]","1840"," 2014-02-25 15:04"," 2014-02-25 15:18","3.24E+24","5.70E-6"
"195"," 2014-03-03 15:54"," 2014-03-03 16:01","[137 271]","1857"," 2014-03-03 15:54"," 2014-03-03 16:01","1.92E+24","1.20E-5"
"11"," 2014-03-06 03:53"," 2014-03-06 04:02","[139 309]","1865"," 2014-03-06 03:53"," 2014-03-06 04:02","1.82E+24","1.50E-6"
"10"," 2014-03-11 16:20"," 2014-03-11 16:41","[102 116]","1872"," 2014-03-11 16:20"," 2014-03-11 16:41","4.01E+24","9.70E-6"
"193"," 2014-03-20 03:42"," 2014-03-20 04:08","[152 198]","1883"," 2014-03-20 03:42"," 2014-03-20 04:08","6.85E+24","1.70E-5"
"7"," 2014-03-29 14:26"," 2014-03-29 14:37","[ 80 148]","1913"," 2014-03-29 14:26"," 2014-03-29 14:37","3.02E+24","3.30E-6"
"6"," 2014-04-15 08:53"," 2014-04-15 08:59","[233 312]","1952"," 2014-04-15 08:53"," 2014-04-15 08:59","1.45E+24","1.30E-6"
"5"," 2014-04-15 09:15"," 2014-04-15 09:25","[ 2 85]","1953"," 2014-04-15 09:15"," 2014-04-15 09:25","2.02E+21","8.60E-6"
"4"," 2014-04-15 09:53"," 2014-04-15 10:10","[614 683]","1954"," 2014-04-15 09:53"," 2014-04-15 10:10","3.50E+24","4.40E-6"
"3"," 2014-04-16 08:12"," 2014-04-16 08:20","[ 2 34]","1962"," 2014-04-16 08:12"," 2014-04-16 08:20","2.69E+24","4.50E-6"
"2"," 2014-04-18 08:03"," 2014-04-18 08:24","[469 614]","1975"," 2014-04-18 08:03"," 2014-04-18 08:24","3.44E+24","4.80E-6"
